id,location,meanEngProf,meanEngFreq,meanArbProf,meanArbFreq,engReadProf,engReadFreq,arbReadProf,arbReadFreq,hand,experimenter,age,sex,primaryLang,hand2,lang1,lang2,lang3,engComp,arabicComp,radius,angle,cols,col1,pch,engMinusArabic,group2
o138,online,3,2.25,2,2,3,2,2,2,5,,19,Male,,,,,,0.61875,0.5,0.795519681,38.94101228,#CBC969,#CBC969,21,0.11875,2. Bilingual
o139,online,4,3.25,4,1.75,4,4,4,1,4.75,,20,Male,,,,,,0.94375,0.60625,1.121696539,32.71604456,#A6C2A1,#A6C2A1,21,0.3375,1. English
o140,online,2,3.5,3.33333333,4,2,4,4,4,3,,21,Female,,,,,,0.7625,0.966666667,1.231198885,51.73386691,#E79505,#E79505,21,-0.204166667,3. Arabic
o141,online,4,4,3.33333333,2.75,4,4,3,2,5,,19,Female,,,,,,1,0.672916667,1.20532852,33.93726734,#ADC496,#ADC496,21,0.327083334,1. English
o142,online,4,4,4,4,4,4,4,4,4.5,,18,Female,,,,,,1,1,1.414213562,45,#E3B40F,#E3B40F,21,0,2. Bilingual
o143,online,3,3.25,2.66666667,2.5,4,4,3,1,3,,18,Female,,,,,,0.89375,0.545833334,1.047245478,31.41335595,#9FBFA7,#9FBFA7,21,0.347916667,1. English
o144,online,3.33333333,3.5,3.66666667,2.75,4,4,4,2,5,,18,Female,,,,,,0.929166667,0.739583334,1.187574925,38.51853129,#C4C874,#C4C874,21,0.189583333,2. Bilingual
o145,online,3.66666667,3.5,4,4,4,4,4,4,5,,17,Female,,,,,,0.945833334,1,1.376444948,46.59454566,#E4A90B,#E4A90B,21,-0.054166667,3. Arabic
o147,online,2.66666667,2.75,3.66666667,3.75,3,3,4,4,5,,19,Male,,,,,,0.714583334,0.964583334,1.200437565,53.46818529,#E98B05,#E98B05,21,-0.25,3. Arabic
o149,online,4,3.75,2.66666667,3,4,4,3,2,5,,20,Male,,,,,,0.98125,0.658333334,1.181632066,33.85817203,#ABC399,#ABC399,21,0.322916667,1. English
o150,online,3.33333333,2.75,3.33333333,3,4,3,3,2,4,,18,Female,,,,,,0.797916667,0.691666667,1.055970541,40.92007806,#DACA4F,#DACA4F,21,0.10625,2. Bilingual
o151,online,4,4,0,0,4,4,0,0,5,,60,Male,,,,,,1,0,1,0,#3A9AB2,#3A9AB2,21,1,1. English
o152,online,4,4,4,4,4,4,4,4,4.5,,19,Female,,,,,,1,1,1.414213562,45,#E3B40F,#E3B40F,21,0,2. Bilingual
o154,online,4,3.75,3.66666667,3.75,4,4,4,4,4.5,,18,Female,,,,,,0.98125,0.964583334,1.375962416,44.50925586,#E2B710,#E2B710,21,0.016666666,2. Bilingual
o156,online,4,3.75,3,1.75,4,4,3,1,4.5,,18,Female,,,,,,0.98125,0.50625,1.104147012,27.29027548,#8BB8B7,#8BB8B7,21,0.475,1. English
o158,online,4,3.75,3.33333333,3,4,4,3,2,4.75,,18,Female,,,,,,0.98125,0.691666667,1.200522528,35.17936711,#B4C58C,#B4C58C,21,0.289583334,2. Bilingual
o160,online,4,4,0,0,4,4,0,0,5,,36,Female,,,,,,1,0,1,0,#3A9AB2,#3A9AB2,21,1,1. English
o161,online,2.66666667,2.25,4,3.75,3,2,4,4,5,,18,Female,,,,,,0.602083334,0.98125,1.151241027,58.46721656,#EC7204,#EC7204,21,-0.379166667,3. Arabic
o162,online,4,4,3.33333333,4,4,4,3,4,5,,18,Female,,,,,,1,0.916666667,1.356568383,42.51044707,#DEC233,#DEC233,21,0.083333333,2. Bilingual
o163,online,2.66666667,2.5,4,2.25,3,3,4,2,5,,27,Female,,,,,,0.695833334,0.71875,1.000392718,45.92812731,#E4AE0D,#E4AE0D,21,-0.022916667,2. Bilingual
o164,online,4,4,3,3.25,4,4,3,3,3.75,,24,Female,,,,,,1,0.76875,1.261339194,37.55128213,#BAC784,#BAC784,21,0.23125,2. Bilingual
o166,online,2.66666667,2.75,3,2.5,3,3,3,2,5,,20,Male,,,,,,0.714583334,0.6375,0.957619753,41.73705463,#DDC53D,#DDC53D,21,0.077083334,2. Bilingual
o167,online,4,4,4,4,4,4,4,4,3.25,,21,Female,,,,,,1,1,1.414213562,45,#E3B40F,#E3B40F,21,0,2. Bilingual
o169,online,3.66666667,3.25,3.33333333,3.25,4,3,3,3,5,,18,Female,,,,,,0.852083334,0.785416667,1.158846559,42.6686349,#E0BF2A,#E0BF2A,21,0.066666667,2. Bilingual
o170,online,1.66666667,1.5,2,2,2,2,2,2,5,,18,Female,,,,,,0.445833334,0.5,0.669901009,48.27767594,#E69C06,#E69C06,24,-0.054166667,3. Arabic
